Sample in Buffer,Sample in Window,TRIGGER,FMsignal_sys_scaled[31:0],I_FIR_data_tvalid,I_FIR2_data_tvalid,Dac_Out_Sig[11:0]
496,496,0,-372187499,0,0,1699
497,497,0,-372187499,0,0,1699
498,498,0,-372187499,0,0,1699
499,499,0,-372187499,0,0,1699
500,500,0,-372187499,0,0,1699
501,501,0,-372187499,0,0,1699
502,502,0,-372187499,0,0,1699
503,503,0,-372187499,0,0,1699
504,504,0,-372187499,0,0,1699
505,505,0,-372187499,0,0,1699
506,506,0,-372187499,0,0,1699
507,507,0,-372187499,0,0,1699
508,508,0,-372187499,0,0,1699
509,509,0,-372187499,0,0,1699
510,510,0,-372187499,0,0,1699
511,511,0,-372187499,0,0,1699
512,512,0,-372187499,0,0,1699
513,513,0,-372187499,0,0,1699
514,514,0,-372187499,0,0,1699
515,515,0,-372187499,0,0,1699
516,516,0,-372187499,0,0,1699
517,517,0,-372187499,0,0,1699
518,518,0,-372187499,0,0,1699
519,519,0,-372187499,0,0,1699
520,520,0,-372187499,0,0,1699
521,521,0,-372187499,0,0,1699
522,522,0,-372187499,0,0,1699
523,523,0,-372187499,0,0,1699
524,524,0,-372187499,0,0,1699
525,525,0,-372187499,0,0,1699
526,526,0,-372187499,0,0,1699
527,527,0,-372187499,0,0,1699
528,528,0,-372187499,0,0,1699
529,529,0,-372187499,0,0,1699
530,530,0,-372187499,0,0,1699
531,531,0,-372187499,0,0,1699
532,532,0,-372187499,0,0,1699
533,533,0,-372187499,0,0,1699
534,534,0,-372187499,0,0,1699
535,535,0,-372187499,0,0,1699
536,536,0,-372187499,0,0,1699
537,537,0,-372187499,0,0,1699
538,538,0,-372187499,0,0,1699
539,539,0,-372187499,0,0,1699
540,540,0,-372187499,0,0,1699
541,541,0,-372187499,0,0,1699
542,542,0,-372187499,0,0,1699
543,543,0,-372187499,0,0,1699
544,544,0,-372187499,0,0,1699
545,545,0,-372187499,0,0,1699
546,546,0,-372187499,0,0,1699
547,547,0,-372187499,0,0,1699
548,548,0,-372187499,0,0,1699
549,549,0,-372187499,1,0,1699
550,550,0,-372187499,0,0,1699
551,551,0,-372187499,0,0,1699
552,552,0,-372187499,0,0,1699
553,553,0,-372187499,0,0,1699
554,554,0,-372187499,0,0,1699
555,555,0,-372187499,0,0,1699
556,556,0,-372187499,0,0,1699
557,557,0,-372187499,0,0,1699
558,558,0,-372187499,0,0,1699
559,559,0,-372187499,0,0,1699
560,560,0,-372187499,0,0,1699
561,561,0,-372187499,0,0,1699
562,562,0,-372187499,0,0,1699
563,563,0,-372187499,0,0,1699
564,564,0,-372187499,0,0,1699
565,565,0,-372187499,0,0,1699
566,566,0,-372187499,0,0,1699
567,567,0,-372187499,0,0,1699
568,568,0,-372187499,0,0,1699
569,569,0,-372187499,0,0,1699
570,570,0,-372187499,0,0,1699
571,571,0,-372187499,0,0,1699
572,572,0,-372187499,0,0,1699
573,573,0,-372187499,0,0,1699
574,574,0,-374900032,0,0,1699
575,575,0,-374900032,0,0,1699
576,576,0,-374900032,0,0,1699
577,577,0,-374900032,0,0,1699
578,578,0,-374900032,0,0,1699
579,579,0,-374900032,0,0,1699
580,580,0,-374900032,0,0,1699
581,581,0,-374900032,0,0,1699
582,582,0,-374900032,0,0,1699
583,583,0,-374900032,0,0,1699
584,584,0,-374900032,0,0,1699
585,585,0,-374900032,0,0,1699
586,586,0,-374900032,0,0,1699
587,587,0,-374900032,0,0,1699
588,588,0,-374900032,0,0,1699
589,589,0,-374900032,0,0,1699
590,590,0,-374900032,0,0,1699
591,591,0,-374900032,0,0,1699
592,592,0,-374900032,0,0,1699
593,593,0,-374900032,0,0,1699
594,594,0,-374900032,0,0,1699
595,595,0,-374900032,0,0,1699
596,596,0,-374900032,0,0,1699
597,597,0,-374900032,0,0,1699
598,598,0,-374900032,0,0,1699
599,599,0,-374900032,0,0,1699
600,600,0,-374900032,0,0,1699
601,601,0,-374900032,0,0,1699
602,602,0,-374900032,0,0,1699
603,603,0,-374900032,0,0,1699
604,604,0,-374900032,0,0,1699
605,605,0,-374900032,0,0,1699
606,606,0,-374900032,0,0,1699
607,607,0,-374900032,0,0,1699
608,608,0,-374900032,0,0,1699
609,609,0,-374900032,0,0,1699
610,610,0,-374900032,0,0,1699
611,611,0,-374900032,0,0,1699
612,612,0,-374900032,0,0,1699
613,613,0,-374900032,0,0,1699
614,614,0,-374900032,0,0,1699
615,615,0,-374900032,0,0,1699
616,616,0,-374900032,0,0,1699
617,617,0,-374900032,0,0,1699
618,618,0,-374900032,0,0,1699
619,619,0,-374900032,0,0,1699
620,620,0,-374900032,0,0,1699
621,621,0,-374900032,0,0,1699
622,622,0,-374900032,0,0,1699
623,623,0,-374900032,0,0,1699
624,624,0,-374900032,0,0,1699
625,625,0,-374900032,0,0,1699
626,626,0,-374900032,0,0,1699
627,627,0,-374900032,0,0,1699
628,628,0,-374900032,0,0,1699
629,629,0,-374900032,0,0,1699
630,630,0,-374900032,0,0,1699
631,631,0,-374900032,0,0,1699
632,632,0,-374900032,0,0,1699
633,633,0,-374900032,0,0,1699
634,634,0,-374900032,0,0,1699
635,635,0,-374900032,0,0,1699
636,636,0,-374900032,0,0,1699
637,637,0,-374900032,0,0,1699
638,638,0,-374900032,0,0,1699
639,639,0,-374900032,0,0,1699
640,640,0,-374900032,0,0,1699
641,641,0,-374900032,0,0,1699
642,642,0,-374900032,0,0,1699
643,643,0,-374900032,0,0,1699
644,644,0,-374900032,0,0,1699
645,645,0,-374900032,0,0,1699
646,646,0,-374900032,0,0,1699
647,647,0,-374900032,0,0,1699
648,648,0,-374900032,0,0,1699
649,649,0,-374900032,1,0,1699
650,650,0,-374900032,0,0,1699
651,651,0,-374900032,0,0,1699
652,652,0,-374900032,0,0,1699
653,653,0,-374900032,0,0,1699
654,654,0,-374900032,0,0,1699
655,655,0,-374900032,0,0,1699
656,656,0,-374900032,0,0,1699
657,657,0,-374900032,0,0,1699
658,658,0,-374900032,0,0,1699
659,659,0,-374900032,0,0,1699
660,660,0,-374900032,0,0,1699
661,661,0,-374900032,0,0,1699
662,662,0,-374900032,0,0,1699
663,663,0,-374900032,0,0,1699
664,664,0,-374900032,0,0,1699
665,665,0,-374900032,0,0,1699
666,666,0,-374900032,0,0,1699
667,667,0,-374900032,0,0,1699
668,668,0,-374900032,0,0,1699
669,669,0,-374900032,0,0,1699
670,670,0,-374900032,0,0,1699
671,671,0,-374900032,0,0,1699
672,672,0,-374900032,0,0,1699
673,673,0,-374900032,0,0,1699
674,674,0,-375439872,0,0,1699
675,675,0,-375439872,0,0,1699
676,676,0,-375439872,0,0,1699
677,677,0,-375439872,0,0,1699
678,678,0,-375439872,0,0,1699
679,679,0,-375439872,0,0,1699
680,680,0,-375439872,0,0,1699
681,681,0,-375439872,0,0,1699
682,682,0,-375439872,0,0,1699
683,683,0,-375439872,0,0,1699
684,684,0,-375439872,0,0,1699
685,685,0,-375439872,0,0,1699
686,686,0,-375439872,0,0,1699
687,687,0,-375439872,0,0,1699
688,688,0,-375439872,0,0,1699
689,689,0,-375439872,0,0,1699
690,690,0,-375439872,0,0,1699
691,691,0,-375439872,0,0,1699
692,692,0,-375439872,0,0,1699
693,693,0,-375439872,0,0,1699
694,694,0,-375439872,0,0,1699
695,695,0,-375439872,0,0,1699
696,696,0,-375439872,0,0,1699
697,697,0,-375439872,0,0,1699
698,698,0,-375439872,0,0,1699
699,699,0,-375439872,0,0,1699
700,700,0,-375439872,0,0,1699
701,701,0,-375439872,0,0,1699
702,702,0,-375439872,0,0,1699
703,703,0,-375439872,0,0,1699
704,704,0,-375439872,0,0,1699
705,705,0,-375439872,0,0,1699
706,706,0,-375439872,0,0,1699
707,707,0,-375439872,0,0,1699
708,708,0,-375439872,0,0,1699
709,709,0,-375439872,0,0,1699
710,710,0,-375439872,0,0,1699
711,711,0,-375439872,0,0,1699
712,712,0,-375439872,0,0,1699
713,713,0,-375439872,0,0,1699
714,714,0,-375439872,0,0,1699
715,715,0,-375439872,0,0,1699
716,716,0,-375439872,0,0,1699
717,717,0,-375439872,0,0,1699
718,718,0,-375439872,0,0,1699
719,719,0,-375439872,0,0,1699
720,720,0,-375439872,0,0,1699
721,721,0,-375439872,0,0,1699
722,722,0,-375439872,0,0,1699
723,723,0,-375439872,0,0,1699
724,724,0,-375439872,0,0,1699
725,725,0,-375439872,0,0,1699
726,726,0,-375439872,0,0,1699
727,727,0,-375439872,0,0,1699
728,728,0,-375439872,0,0,1699
729,729,0,-375439872,0,0,1699
730,730,0,-375439872,0,0,1699
731,731,0,-375439872,0,0,1699
732,732,0,-375439872,0,0,1699
733,733,0,-375439872,0,0,1699
734,734,0,-375439872,0,0,1699
735,735,0,-375439872,0,0,1699
736,736,0,-375439872,0,0,1699
737,737,0,-375439872,0,0,1699
738,738,0,-375439872,0,0,1699
739,739,0,-375439872,0,0,1699
740,740,0,-375439872,0,0,1699
741,741,0,-375439872,0,0,1699
742,742,0,-375439872,0,0,1699
743,743,0,-375439872,0,0,1699
744,744,0,-375439872,0,0,1699
745,745,0,-375439872,0,0,1699
746,746,0,-375439872,0,0,1699
747,747,0,-375439872,0,0,1699
748,748,0,-375439872,0,0,1699
749,749,0,-375439872,1,0,1699
750,750,0,-375439872,0,0,1699
751,751,0,-375439872,0,0,1699
752,752,0,-375439872,0,0,1699
753,753,0,-375439872,0,0,1699
754,754,0,-375439872,0,0,1699
755,755,0,-375439872,0,0,1699
756,756,0,-375439872,0,0,1699
757,757,0,-375439872,0,0,1699
758,758,0,-375439872,0,0,1699
759,759,0,-375439872,0,0,1699
760,760,0,-375439872,0,0,1699
761,761,0,-375439872,0,0,1699
762,762,0,-375439872,0,0,1699
